Age,Height_cm,Weight_kg,BMI,Activity_Level,Sleep_Hours,Water_Intake_ml,Healthy_Food_Count,Junk_Food_Count,Target_Health_Score,Target_Status
26,180,84.0,25.9,Sitting,7,2486,2,2,63,Good
33,195,108.2,28.5,Light,6,2183,0,0,70,Good
50,170,95.1,32.9,Sitting,9,3362,0,0,69,Good
65,151,90.9,39.9,Heavy,6,1706,2,1,62,Good
18,143,33.5,16.4,Light,9,2012,4,0,85,Optimal
44,156,62.6,25.7,Sitting,4,2666,4,1,67,Good
59,164,44.3,16.5,Heavy,6,1531,4,3,75,Good
37,153,59.3,25.3,Heavy,8,3963,2,3,89,Optimal
40,192,75.2,20.4,Sitting,8,4370,2,0,89,Optimal
38,148,56.3,25.7,Moderate,5,2633,0,3,69,Good
24,150,42.6,18.9,Sitting,6,3020,2,2,74,Good
29,181,106.6,32.5,Light,4,3042,1,0,66,Good
35,143,48.6,23.8,Heavy,4,2407,3,1,81,Optimal
26,175,71.2,23.2,Heavy,6,1561,1,2,82,Optimal
53,192,79.5,21.6,Light,4,4454,2,2,74,Good
62,165,102.4,37.6,Light,4,2487,0,2,37,High Risk
52,183,93.6,27.9,Light,4,1794,1,3,48,Moderate Risk
45,194,75.6,20.1,Sitting,6,2956,2,0,84,Optimal
20,190,81.5,22.6,Heavy,4,4111,4,0,98,Optimal
54,149,54.5,24.5,Heavy,6,4237,1,2,92,Optimal
40,144,39.4,19.0,Heavy,5,1313,0,3,70,Good
28,158,56.5,22.6,Sitting,7,4105,1,3,72,Good
45,179,117.1,36.5,Light,4,4251,3,1,59,Moderate Risk
51,163,85.7,32.3,Moderate,6,4492,1,0,82,Optimal
51,191,95.5,26.2,Heavy,8,1657,1,1,86,Optimal
36,174,101.0,33.4,Light,6,3303,1,3,60,Good
25,169,91.1,31.9,Heavy,7,3968,5,2,90,Optimal
45,147,77.3,35.8,Heavy,4,1701,4,1,62,Good
23,151,61.9,27.1,Heavy,9,2681,0,1,92,Optimal
36,159,44.8,17.7,Heavy,5,3216,0,3,74,Good
51,189,109.6,30.7,Sitting,8,2806,0,1,67,Good
27,180,78.0,24.1,Moderate,9,3492,4,3,93,Optimal
45,186,91.8,26.5,Sitting,5,3649,0,1,63,Good
29,179,89.7,28.0,Light,4,2164,3,1,62,Good
30,171,53.8,18.4,Moderate,8,2611,4,0,100,Optimal
49,167,88.3,31.7,Light,8,2891,4,3,73,Good
62,141,53.5,26.9,Moderate,8,4218,2,1,92,Optimal
45,184,114.7,33.9,Moderate,7,3329,4,0,90,Optimal
53,153,65.9,28.2,Moderate,6,3950,0,3,71,Good
27,184,82.7,24.4,Moderate,6,1656,4,0,93,Optimal
57,141,40.7,20.5,Sitting,9,3813,2,1,84,Optimal
38,141,51.6,26.0,Light,7,1546,1,3,66,Good
29,187,100.6,28.8,Heavy,4,1771,2,1,69,Good
22,185,120.9,35.3,Sitting,8,2834,4,2,63,Good
59,143,37.1,18.1,Heavy,9,4083,4,2,97,Optimal
59,181,78.1,23.8,Moderate,6,2864,0,1,90,Optimal
65,152,63.1,27.3,Light,9,3169,4,3,80,Optimal
56,175,74.4,24.3,Heavy,9,1219,5,2,95,Optimal
20,174,61.9,20.4,Heavy,4,3865,4,1,93,Optimal
48,168,102.6,36.4,Sitting,8,3182,4,3,56,Moderate Risk
27,159,61.4,24.3,Light,9,2739,1,3,82,Optimal
41,141,29.1,14.6,Heavy,8,1250,2,3,73,Good
64,158,63.5,25.4,Sitting,5,1425,2,2,54,Moderate Risk
57,163,56.3,21.2,Sitting,8,2518,2,0,89,Optimal
21,159,43.0,17.0,Light,6,3863,0,0,82,Optimal
55,140,79.2,40.4,Light,8,1756,1,1,54,Moderate Risk
30,181,113.6,34.7,Heavy,5,3103,0,2,66,Good
56,157,47.6,19.3,Sitting,7,2700,0,1,80,Optimal
61,192,90.5,24.5,Sitting,7,3549,2,3,74,Good
46,194,131.2,34.9,Moderate,9,4029,5,0,91,Optimal
34,150,39.7,17.6,Light,7,4425,1,2,80,Optimal
54,188,124.5,35.2,Moderate,5,4387,4,0,78,Good
42,166,92.5,33.6,Moderate,6,1016,3,0,74,Good
20,158,59.8,24.0,Moderate,9,1198,1,2,82,Optimal
39,184,107.4,31.7,Moderate,4,4435,4,2,68,Good
62,197,104.7,27.0,Moderate,4,1947,2,1,66,Good
26,185,94.4,27.6,Heavy,7,3309,3,1,98,Optimal
46,174,91.7,30.3,Sitting,5,2806,0,2,53,Moderate Risk
53,164,100.8,37.5,Light,8,3419,3,0,78,Good
26,185,113.1,33.0,Heavy,7,3061,2,2,82,Optimal
52,167,104.3,37.4,Sitting,6,1894,2,3,36,High Risk
29,148,53.9,24.6,Moderate,9,4180,1,1,97,Optimal
21,188,82.0,23.2,Moderate,8,3432,1,0,100,Optimal
64,187,94.8,27.1,Heavy,7,3623,0,3,82,Optimal
18,194,111.9,29.7,Sitting,8,2302,1,0,65,Good
51,195,108.9,28.6,Sitting,6,2086,3,1,61,Good
59,184,103.5,30.6,Heavy,8,3478,5,1,97,Optimal
38,166,100.7,36.5,Moderate,6,2380,0,1,58,Moderate Risk
27,148,50.4,23.0,Sitting,6,2096,5,1,75,Good
36,177,65.7,21.0,Sitting,6,4437,0,3,65,Good
22,197,119.9,30.9,Moderate,9,3132,1,2,79,Good
55,158,81.1,32.5,Moderate,9,2764,4,1,87,Optimal
20,185,110.7,32.3,Light,5,1304,3,0,66,Good
47,148,83.1,37.9,Heavy,4,1078,3,1,57,Moderate Risk
22,164,86.7,32.2,Heavy,7,2910,3,1,91,Optimal
50,151,33.1,14.5,Moderate,5,2359,0,3,54,Moderate Risk
20,162,43.2,16.5,Moderate,4,4363,4,2,75,Good
45,196,119.4,31.1,Heavy,6,2188,5,2,76,Good
19,163,98.5,37.1,Moderate,8,1054,3,2,63,Good
45,143,49.0,24.0,Sitting,4,2447,5,0,70,Good
38,183,67.3,20.1,Moderate,4,1703,1,3,62,Good
57,198,85.2,21.7,Sitting,4,1606,3,0,66,Good
45,174,72.3,23.9,Light,9,2379,0,3,70,Good
48,161,68.5,26.4,Heavy,4,1365,4,1,76,Good
54,178,110.5,34.9,Sitting,4,4311,1,0,53,Moderate Risk
42,148,81.7,37.3,Light,5,2193,1,3,39,High Risk
58,175,78.9,25.8,Sitting,5,3307,4,2,67,Good
18,159,64.5,25.5,Heavy,7,1920,1,3,77,Good
35,177,86.2,27.5,Light,5,1193,1,3,54,Moderate Risk
53,177,89.0,28.4,Heavy,9,2900,1,2,87,Optimal
48,146,67.8,31.8,Light,8,1248,5,0,80,Optimal
52,146,40.7,19.1,Light,9,3337,5,1,100,Optimal
62,160,53.3,20.8,Heavy,5,2272,4,0,93,Optimal
22,185,106.0,31.0,Heavy,5,3735,1,1,78,Good
19,155,37.7,15.7,Sitting,5,2570,0,0,66,Good
60,186,75.6,21.9,Moderate,6,3584,4,0,100,Optimal
41,140,24.2,12.3,Sitting,7,1054,5,0,70,Good
52,161,83.7,32.3,Moderate,8,3329,2,2,79,Good
38,147,56.4,26.1,Light,5,1760,4,0,77,Good
37,163,81.6,30.7,Sitting,7,1863,2,3,51,Moderate Risk
57,160,74.1,28.9,Light,4,1667,0,1,55,Moderate Risk
46,163,73.5,27.7,Sitting,7,3364,3,2,72,Good
19,180,60.8,18.8,Heavy,8,2524,0,2,95,Optimal
30,185,101.0,29.5,Moderate,5,1343,2,3,58,Moderate Risk
22,158,43.4,17.4,Sitting,4,2413,3,3,44,Moderate Risk
63,189,112.8,31.6,Moderate,9,2612,1,1,83,Optimal
59,149,53.3,24.0,Sitting,7,2083,2,3,64,Good
26,144,42.7,20.6,Heavy,6,1291,4,1,93,Optimal
26,187,96.9,27.7,Moderate,5,4075,1,3,68,Good
61,176,99.8,32.2,Sitting,6,2974,2,0,69,Good
48,174,107.4,35.5,Heavy,6,3529,5,2,80,Optimal
37,175,93.6,30.6,Light,4,2090,3,1,58,Moderate Risk
26,171,101.1,34.6,Moderate,7,2613,1,3,68,Good
63,157,55.3,22.4,Sitting,7,3518,1,2,77,Good
60,193,115.0,30.9,Light,7,3494,4,3,75,Good
37,191,75.5,20.7,Light,6,3170,5,1,95,Optimal
38,142,57.1,28.3,Sitting,9,1497,1,1,63,Good
26,189,82.1,23.0,Heavy,6,3239,4,0,100,Optimal
49,163,52.1,19.6,Moderate,7,1402,3,0,96,Optimal
30,149,36.5,16.4,Sitting,5,1882,0,0,57,Moderate Risk
24,170,80.1,27.7,Heavy,5,2596,2,2,80,Optimal
61,185,109.0,31.8,Moderate,8,2293,0,0,75,Good
20,156,62.6,25.7,Sitting,4,2894,0,1,59,Moderate Risk
44,167,66.8,24.0,Moderate,8,3846,0,3,85,Optimal
54,180,67.0,20.7,Moderate,5,1228,3,1,81,Optimal
60,141,53.1,26.7,Moderate,6,4330,0,2,78,Good
30,198,96.0,24.5,Sitting,6,1362,0,0,70,Good
28,190,96.1,26.6,Light,8,3768,3,0,94,Optimal
55,181,107.2,32.7,Heavy,5,1755,4,1,72,Good
24,182,110.3,33.3,Sitting,9,4330,4,2,66,Good
30,169,65.3,22.9,Heavy,7,3232,4,1,100,Optimal
26,180,77.0,23.8,Moderate,6,1377,4,3,78,Good
55,189,99.9,28.0,Sitting,5,2974,1,3,53,Moderate Risk
22,192,118.7,32.2,Sitting,9,3324,5,1,75,Good
51,141,37.8,19.0,Light,7,2978,3,2,91,Optimal
52,170,67.9,23.5,Heavy,8,4049,5,3,100,Optimal
53,160,71.5,27.9,Light,9,1220,1,2,68,Good
37,178,74.7,23.6,Heavy,8,1484,3,2,91,Optimal
38,157,42.9,17.4,Sitting,5,1287,5,2,58,Moderate Risk
25,173,98.0,32.7,Light,5,3179,1,1,66,Good
41,149,39.4,17.7,Light,6,3726,1,1,81,Optimal
24,182,112.0,33.8,Sitting,8,1737,0,1,52,Moderate Risk
35,188,100.7,28.5,Sitting,9,1242,3,3,56,Moderate Risk
40,198,119.9,30.6,Heavy,9,3691,2,0,96,Optimal
54,157,96.0,38.9,Heavy,7,2922,3,1,81,Optimal
56,192,112.7,30.6,Sitting,8,2675,4,1,75,Good
35,166,48.6,17.6,Light,6,4138,3,0,89,Optimal
39,165,98.5,36.2,Heavy,7,1032,2,1,73,Good
32,178,87.1,27.5,Sitting,8,1801,1,2,59,Moderate Risk
24,141,62.8,31.6,Sitting,8,3476,4,2,69,Good
32,157,54.7,22.2,Light,5,2152,0,0,75,Good
22,164,53.9,20.0,Heavy,7,1146,3,1,96,Optimal
28,194,93.1,24.7,Heavy,9,3560,0,0,100,Optimal
22,161,73.9,28.5,Heavy,7,3280,2,0,99,Optimal
28,143,28.4,13.9,Moderate,5,2238,5,2,68,Good
45,171,70.8,24.2,Light,6,3472,2,0,94,Optimal
31,168,94.9,33.6,Heavy,4,3437,5,1,78,Good
43,160,60.4,23.6,Sitting,5,2607,1,2,67,Good
34,172,54.8,18.5,Light,4,4376,4,1,83,Optimal
50,159,71.8,28.4,Moderate,5,4468,3,3,71,Good
20,191,87.5,24.0,Light,4,1312,4,2,68,Good
37,184,92.2,27.2,Heavy,7,3312,2,1,96,Optimal
65,187,97.6,27.9,Sitting,9,3679,4,2,74,Good
49,199,98.4,24.8,Heavy,4,2588,5,2,90,Optimal
54,156,94.4,38.8,Sitting,8,4486,3,3,51,Moderate Risk
48,182,66.9,20.2,Heavy,5,2994,2,2,89,Optimal
26,147,36.4,16.8,Light,5,1104,2,3,56,Moderate Risk
58,171,82.6,28.2,Heavy,7,2849,0,0,96,Optimal
28,144,53.9,26.0,Heavy,6,4361,2,0,98,Optimal
65,166,46.6,16.9,Moderate,6,1657,3,2,73,Good
55,184,95.7,28.3,Moderate,4,4208,1,1,73,Good
34,156,54.0,22.2,Heavy,8,3820,5,1,100,Optimal
65,177,77.9,24.9,Moderate,9,3766,2,3,89,Optimal
52,149,72.7,32.7,Moderate,4,4313,5,0,79,Good
31,165,99.2,36.4,Light,8,4037,1,0,75,Good
29,190,120.5,33.4,Moderate,5,3646,0,2,63,Good
56,183,110.6,33.0,Heavy,4,3293,5,3,68,Good
29,184,64.9,19.2,Light,5,2893,3,0,91,Optimal
20,182,62.5,18.9,Moderate,6,4183,0,0,95,Optimal
60,148,85.9,39.2,Moderate,5,2706,1,0,66,Good
56,162,67.3,25.6,Heavy,9,1637,4,1,93,Optimal
19,146,63.8,29.9,Heavy,5,3618,2,2,77,Good
38,155,86.1,35.8,Sitting,5,3772,1,2,46,Moderate Risk
23,191,116.6,32.0,Light,6,3062,3,0,81,Optimal
47,164,85.5,31.8,Light,5,4314,5,1,75,Good
20,143,35.1,17.2,Light,9,2426,1,3,65,Good
35,146,72.6,34.1,Light,4,4448,5,2,62,Good
23,174,89.9,29.7,Heavy,7,1864,3,1,84,Optimal
20,153,47.2,20.2,Moderate,7,3063,0,0,100,Optimal
52,151,57.4,25.2,Sitting,6,1206,3,3,56,Moderate Risk
44,177,105.4,33.6,Light,5,1660,3,2,54,Moderate Risk
65,173,73.0,24.4,Heavy,7,2301,0,2,85,Optimal
63,142,36.2,18.0,Heavy,6,3491,1,1,91,Optimal
63,196,113.7,29.6,Heavy,6,1797,3,1,80,Optimal
53,155,73.3,30.5,Heavy,5,3365,0,2,72,Good
43,155,64.9,27.0,Sitting,6,2172,1,3,50,Moderate Risk
28,199,114.3,28.9,Sitting,9,2215,4,3,58,Moderate Risk
47,169,57.7,20.2,Moderate,8,2369,0,1,85,Optimal
36,161,98.1,37.8,Sitting,8,2011,1,2,43,Moderate Risk
62,183,71.1,21.2,Light,5,1112,0,1,70,Good
62,150,30.6,13.6,Light,6,1152,0,2,57,Moderate Risk
54,189,127.8,35.8,Light,4,2664,4,1,62,Good
49,164,69.6,25.9,Light,4,2793,5,1,79,Good
55,172,92.1,31.1,Heavy,4,2787,4,0,84,Optimal
59,194,126.7,33.7,Heavy,8,4240,4,3,80,Optimal
36,143,82.6,40.4,Sitting,8,2938,0,0,57,Moderate Risk
46,183,112.3,33.5,Heavy,4,2763,1,2,65,Good
62,166,71.2,25.8,Sitting,9,3666,2,2,73,Good
59,158,53.3,21.4,Heavy,7,3616,0,2,95,Optimal
52,180,103.1,31.8,Light,7,1844,0,2,60,Good
32,148,70.5,32.2,Moderate,4,3447,3,1,71,Good
21,194,129.2,34.3,Light,8,2674,1,2,69,Good
45,153,79.9,34.1,Heavy,6,1952,1,2,64,Good
23,200,98.9,24.7,Moderate,6,1516,1,2,77,Good
63,155,75.2,31.3,Sitting,8,1429,4,1,64,Good
45,189,128.2,35.9,Light,5,1629,0,2,44,Moderate Risk
36,182,117.3,35.4,Sitting,7,2541,2,3,54,Moderate Risk
38,200,120.6,30.1,Moderate,7,1936,4,2,76,Good
50,188,68.3,19.3,Moderate,7,2165,0,1,85,Optimal
48,155,67.9,28.3,Heavy,4,3114,4,1,84,Optimal
27,182,111.9,33.8,Light,7,3765,4,1,80,Optimal
55,195,103.8,27.3,Light,8,1376,2,2,71,Good
59,149,41.4,18.6,Sitting,6,4167,0,1,75,Good
60,197,86.8,22.4,Moderate,4,4256,2,2,79,Good
22,184,65.1,19.2,Moderate,4,3050,1,0,87,Optimal
59,151,37.2,16.3,Moderate,4,1013,2,2,60,Good
40,194,89.4,23.8,Heavy,6,2813,4,2,98,Optimal
61,158,66.1,26.5,Heavy,5,2163,4,1,81,Optimal
27,155,57.2,23.8,Moderate,4,1584,4,0,83,Optimal
24,185,117.6,34.4,Moderate,4,1295,2,1,55,Moderate Risk
53,165,58.8,21.6,Light,5,3998,1,1,82,Optimal
46,143,52.8,25.8,Sitting,7,1704,5,2,69,Good
34,175,95.8,31.3,Heavy,9,2259,2,0,85,Optimal
27,193,110.1,29.6,Light,8,4180,0,3,69,Good
59,166,105.2,38.2,Moderate,6,4360,0,2,61,Good
63,172,65.1,22.0,Sitting,4,3166,3,0,76,Good
24,158,71.8,28.8,Light,6,4183,2,1,79,Good
25,195,94.5,24.9,Heavy,4,3201,1,3,77,Good
54,175,81.5,26.6,Sitting,7,3796,2,3,67,Good
23,150,36.2,16.1,Light,8,2699,2,1,85,Optimal
53,145,33.2,15.8,Heavy,8,2637,2,1,95,Optimal
37,183,91.2,27.2,Light,8,1272,3,0,83,Optimal
21,196,92.8,24.2,Heavy,8,1378,0,0,95,Optimal
24,192,107.1,29.1,Light,6,1136,0,2,59,Moderate Risk
52,168,102.5,36.3,Heavy,8,1768,4,2,72,Good
22,174,90.2,29.8,Moderate,5,4172,0,1,73,Good
45,142,66.0,32.7,Sitting,7,4031,2,1,68,Good
26,186,97.3,28.1,Moderate,5,1156,2,0,75,Good
33,160,77.1,30.1,Moderate,6,3135,3,0,89,Optimal
49,149,73.5,33.1,Heavy,6,2027,4,1,76,Good
29,192,108.1,29.3,Sitting,7,3211,1,3,61,Good
55,161,65.3,25.2,Sitting,9,3642,2,3,69,Good
48,162,47.1,17.9,Light,8,1491,4,2,77,Good
54,192,129.2,35.0,Sitting,7,4430,3,3,56,Moderate Risk
41,155,87.1,36.3,Heavy,6,3381,3,1,80,Optimal
26,152,41.8,18.1,Sitting,9,4439,1,1,76,Good
40,174,86.6,28.6,Heavy,8,2060,1,0,87,Optimal
37,161,70.8,27.3,Sitting,5,2543,4,0,75,Good
55,186,86.1,24.9,Light,5,2054,4,2,73,Good
23,175,83.7,27.3,Sitting,9,1380,0,0,67,Good
51,185,119.8,35.0,Heavy,5,1077,2,2,60,Good
63,162,67.7,25.8,Heavy,9,2843,4,3,92,Optimal
43,167,66.6,23.9,Light,8,2285,2,1,84,Optimal
56,200,132.4,33.1,Heavy,4,2557,1,2,65,Good
33,174,74.2,24.5,Moderate,5,4046,1,3,77,Good
49,172,81.4,27.5,Moderate,5,4258,2,2,76,Good
54,158,62.5,25.0,Heavy,4,4412,5,1,95,Optimal
48,147,49.4,22.9,Heavy,4,3795,2,2,84,Optimal
29,172,60.9,20.6,Heavy,4,2504,4,3,83,Optimal
20,158,81.9,32.8,Moderate,4,4228,1,0,71,Good
49,171,57.6,19.7,Moderate,4,3834,4,1,88,Optimal
23,183,84.2,25.1,Light,8,3892,2,0,94,Optimal
34,184,69.1,20.4,Moderate,8,3910,1,0,100,Optimal
45,179,95.8,29.9,Heavy,5,3720,1,0,85,Optimal
41,200,96.6,24.1,Light,6,1119,0,0,80,Optimal
31,172,54.4,18.4,Heavy,6,2141,3,0,91,Optimal
22,162,79.6,30.3,Heavy,7,3030,5,1,98,Optimal
45,172,100.0,33.8,Sitting,4,1432,0,2,32,High Risk
55,168,91.2,32.3,Light,8,2655,2,3,69,Good
41,164,85.8,31.9,Moderate,5,4302,0,2,65,Good
60,173,84.0,28.1,Sitting,9,2199,4,1,69,Good
43,175,94.4,30.8,Moderate,8,1905,1,2,69,Good
59,142,32.7,16.2,Moderate,4,3673,1,2,68,Good
44,158,88.9,35.6,Heavy,7,2556,1,2,77,Good
39,193,102.7,27.6,Heavy,7,3938,1,2,89,Optimal
44,143,71.3,34.9,Sitting,9,2194,2,0,60,Good
57,163,69.7,26.2,Moderate,8,1882,2,0,88,Optimal
52,169,54.1,18.9,Light,7,2435,0,1,80,Optimal
62,148,43.1,19.7,Sitting,6,3804,5,2,80,Optimal
27,153,64.5,27.6,Sitting,7,1772,2,0,71,Good
65,181,73.6,22.5,Moderate,4,3717,1,3,72,Good
58,192,94.3,25.6,Sitting,7,1525,3,2,66,Good
34,177,77.2,24.6,Heavy,7,3096,2,3,94,Optimal
36,144,74.5,35.9,Heavy,6,2583,0,3,64,Good
38,184,108.5,32.0,Moderate,7,4387,4,0,93,Optimal
20,143,28.1,13.7,Moderate,5,3966,4,0,86,Optimal
47,182,97.6,29.5,Heavy,7,1620,5,0,94,Optimal
33,194,96.5,25.6,Moderate,9,3854,2,2,89,Optimal
50,145,51.6,24.5,Sitting,6,2089,4,1,73,Good
44,181,67.0,20.5,Sitting,5,3638,5,3,70,Good
23,197,127.1,32.8,Heavy,4,2368,1,2,56,Moderate Risk
62,187,114.3,32.7,Sitting,7,2234,5,0,69,Good
31,195,113.7,29.9,Sitting,6,4066,2,3,57,Moderate Risk
19,196,132.3,34.4,Light,9,2225,2,1,65,Good
22,149,67.4,30.4,Moderate,6,3981,2,3,71,Good
20,172,85.3,28.8,Sitting,6,2193,5,2,60,Good
62,190,102.2,28.3,Moderate,4,2704,4,3,69,Good
24,165,82.2,30.2,Heavy,8,3379,3,2,89,Optimal
29,158,61.0,24.4,Heavy,4,2828,4,2,88,Optimal
30,172,61.2,20.7,Light,9,2176,4,1,88,Optimal
31,194,115.8,30.8,Moderate,7,2964,3,1,88,Optimal
21,171,68.7,23.5,Heavy,9,4221,5,3,100,Optimal
63,156,93.4,38.4,Heavy,6,1894,5,1,70,Good
61,182,107.1,32.3,Heavy,5,4287,2,0,84,Optimal
44,198,125.5,32.0,Light,7,2571,0,2,70,Good
52,144,72.7,35.1,Moderate,9,1803,1,3,57,Moderate Risk
45,153,88.7,37.9,Moderate,5,1182,0,1,51,Moderate Risk
46,178,110.5,34.9,Light,6,1646,3,0,67,Good
52,198,137.4,35.0,Moderate,5,1459,1,2,52,Moderate Risk
40,186,106.1,30.7,Heavy,5,3980,3,0,88,Optimal
63,152,49.5,21.4,Moderate,5,1246,2,0,84,Optimal
30,154,58.2,24.5,Heavy,7,2490,1,3,82,Optimal
48,168,94.7,33.6,Heavy,9,4116,2,1,87,Optimal
41,157,90.8,36.8,Light,5,1227,3,2,49,Moderate Risk
53,143,29.7,14.5,Light,9,2575,5,0,94,Optimal
60,200,83.2,20.8,Light,6,3758,5,1,95,Optimal
29,191,100.3,27.5,Moderate,8,4246,2,3,81,Optimal
27,170,104.1,36.0,Sitting,7,1176,3,1,55,Moderate Risk
46,187,84.8,24.3,Light,6,1009,0,3,65,Good
25,160,78.9,30.8,Heavy,8,2768,2,2,86,Optimal
41,179,94.1,29.4,Light,4,2216,5,1,64,Good
24,146,40.3,18.9,Heavy,4,3935,3,1,91,Optimal
31,173,53.9,18.0,Moderate,6,3175,3,0,95,Optimal
36,187,109.6,31.3,Heavy,7,2936,4,0,99,Optimal
58,154,36.5,15.4,Sitting,7,2507,2,1,74,Good
38,150,68.2,30.3,Moderate,4,4145,0,1,68,Good
27,175,87.4,28.5,Heavy,6,4202,4,2,88,Optimal
62,185,81.8,23.9,Moderate,9,2924,0,1,95,Optimal
32,175,98.0,32.0,Sitting,9,2865,3,1,71,Good
35,192,92.3,25.0,Light,8,3451,4,0,100,Optimal
37,200,134.9,33.7,Heavy,8,1476,3,2,73,Good
26,192,92.9,25.2,Sitting,6,2891,3,0,81,Optimal
57,175,60.9,19.9,Sitting,5,1495,4,2,63,Good
59,158,42.2,16.9,Sitting,5,3016,0,0,67,Good
48,169,89.3,31.3,Light,5,1482,2,1,60,Good
29,159,51.5,20.4,Heavy,7,2226,4,1,98,Optimal
46,158,69.6,27.9,Sitting,4,3403,3,3,52,Moderate Risk
24,181,84.8,25.9,Sitting,9,2031,5,3,64,Good
38,157,73.6,29.9,Sitting,4,3082,4,1,61,Good
33,152,62.8,27.2,Sitting,8,1665,5,2,67,Good
40,168,68.6,24.3,Moderate,4,3430,3,3,76,Good
45,175,105.4,34.4,Heavy,4,3759,2,2,65,Good
23,196,125.9,32.8,Moderate,7,2385,5,3,69,Good
40,200,104.6,26.1,Heavy,8,3841,3,0,100,Optimal
64,144,28.4,13.7,Light,7,1454,1,0,75,Good
23,180,78.0,24.1,Sitting,8,3207,3,2,81,Optimal
24,140,49.3,25.2,Sitting,8,3874,5,2,80,Optimal
60,173,76.3,25.5,Sitting,9,2457,3,2,66,Good
41,199,135.9,34.3,Sitting,9,4102,1,1,64,Good
64,187,123.6,35.3,Heavy,6,3713,3,0,86,Optimal
62,154,44.3,18.7,Heavy,6,1110,3,2,86,Optimal
39,200,133.3,33.3,Light,4,3362,5,2,63,Good
60,158,90.8,36.4,Moderate,4,3785,1,2,55,Moderate Risk
31,163,52.3,19.7,Sitting,8,1771,0,0,75,Good
48,153,47.1,20.1,Heavy,4,4412,5,0,100,Optimal
52,174,112.3,37.1,Moderate,4,3754,5,0,72,Good
45,150,45.3,20.1,Moderate,6,1950,3,2,81,Optimal
47,196,123.7,32.2,Sitting,9,2263,4,0,68,Good
39,199,118.8,30.0,Light,6,3354,2,2,72,Good
26,198,79.1,20.2,Moderate,6,2047,1,2,77,Good
35,171,77.3,26.4,Light,9,2520,4,2,86,Optimal
28,194,130.3,34.6,Moderate,9,3677,2,1,80,Optimal
34,160,94.2,36.8,Moderate,5,4377,3,0,74,Good
55,174,79.8,26.4,Light,9,3353,5,1,93,Optimal
