Meal_Name,Calories,Tags
Wheat/Roti Combo 40,187,Wheat/Roti
Rice + Tofu + Vegetables Combo 41,476,Rice Tofu Vegetables
Pasta + Lentils + Vegetables + (Fried/Processed) Combo 42,872,Pasta Lentils Vegetables Junk Food
Wheat/Roti + Lentils Combo 43,457,Wheat/Roti Lentils
Pasta Combo 44,167,Pasta
Rice Combo 45,240,Rice
Rice + Tofu + Mixed Salad + (Fried/Processed) Combo 46,725,Rice Tofu Vegetables Junk Food
Rice Combo 47,203,Rice
Quinoa Combo 48,283,Quinoa
Quinoa Combo 49,207,Quinoa
Pasta + Tofu Combo 50,284,Pasta Tofu
Rice + Tofu + Mixed Salad Combo 51,435,Rice Tofu Vegetables
Quinoa Combo 52,289,Quinoa
Rice + Tofu Combo 53,480,Rice Tofu
Wheat/Roti + Lentils Combo 54,390,Wheat/Roti Lentils
Wheat/Roti + Fish Combo 55,418,Wheat/Roti Fish
Pasta + Chicken/Meat + Leafy Greens Combo 56,538,Pasta Chicken/Meat Vegetables
Quinoa Combo 57,171,Quinoa
Wheat/Roti + Eggs + Vegetables Combo 58,432,Wheat/Roti Eggs Vegetables
Pasta + Lentils Combo 59,475,Pasta Lentils
Quinoa + Chicken/Meat Combo 60,362,Quinoa Chicken/Meat
Pasta + Fish + Root Veggies Combo 61,429,Pasta Fish Vegetables
Wheat/Roti + Chicken/Meat + Leafy Greens Combo 62,487,Wheat/Roti Chicken/Meat Vegetables Nuts
Rice + Tofu + Mixed Salad + (Fried/Processed) Combo 63,1030,Rice Tofu Vegetables Junk Food
Quinoa + Eggs + Leafy Greens Combo 64,428,Quinoa Eggs Vegetables
Rice + Chicken/Meat + Vegetables Combo 65,413,Rice Chicken/Meat Vegetables Nuts
Wheat/Roti + Fish + Root Veggies + (Fried/Processed) Combo 66,740,Wheat/Roti Fish Vegetables Junk Food
Pasta + Fish + Vegetables Combo 67,434,Pasta Fish Vegetables
Rice + Tofu Combo 68,536,Rice Tofu
Quinoa + Eggs + Leafy Greens Combo 69,361,Quinoa Eggs Vegetables
Noodles Combo 70,262,Noodles
Quinoa + Chicken/Meat + Mixed Salad Combo 71,486,Quinoa Chicken/Meat Vegetables Nuts
Noodles + Lentils + Leafy Greens + with Cheese/Cream Combo 72,735,Noodles Lentils Vegetables Dairy
Noodles Combo 73,253,Noodles
Pasta + Fish Combo 74,480,Pasta Fish
Quinoa Combo 75,226,Quinoa
Wheat/Roti Combo 76,188,Wheat/Roti
Noodles + Lentils Combo 77,354,Noodles Lentils
Pasta + Eggs + Mixed Salad Combo 78,526,Pasta Eggs Vegetables Nuts
Pasta + Eggs + Root Veggies Combo 79,468,Pasta Eggs Vegetables
Wheat/Roti Combo 80,286,Wheat/Roti
Noodles + Fish + Root Veggies + (Fried/Processed) Combo 81,811,Noodles Fish Vegetables Junk Food
Quinoa + Tofu + Leafy Greens Combo 82,439,Quinoa Tofu Vegetables
Noodles + Chicken/Meat Combo 83,314,Noodles Chicken/Meat
Quinoa + Chicken/Meat + Leafy Greens Combo 84,665,Quinoa Chicken/Meat Vegetables
Noodles Combo 85,237,Noodles
Rice + Chicken/Meat Combo 86,495,Rice Chicken/Meat
Rice + Eggs Combo 87,520,Rice Eggs
Pasta + Tofu + Root Veggies Combo 88,606,Pasta Tofu Vegetables
Pasta + Lentils Combo 89,608,Pasta Lentils
Rice + Fish + Vegetables Combo 90,543,Rice Fish Vegetables
Rice + Eggs Combo 91,413,Rice Eggs
Noodles Combo 92,189,Noodles
Pasta Combo 93,295,Pasta
Noodles + Fish + Leafy Greens Combo 94,426,Noodles Fish Vegetables Sweets
Pasta + Chicken/Meat Combo 95,392,Pasta Chicken/Meat
Rice + Fish + Mixed Salad + (Fried/Processed) Combo 96,880,Rice Fish Vegetables Junk Food
Rice + Eggs Combo 97,467,Rice Eggs
Pasta Combo 98,164,Pasta
Noodles + Lentils + Root Veggies Combo 99,633,Noodles Lentils Vegetables
Wheat/Roti + Lentils + Mixed Salad Combo 100,471,Wheat/Roti Lentils Vegetables
Wheat/Roti + Lentils Combo 101,290,Wheat/Roti Lentils
Pasta Combo 102,243,Pasta
Pasta + Tofu + Vegetables Combo 103,570,Pasta Tofu Vegetables
Noodles + Fish + Vegetables Combo 104,577,Noodles Fish Vegetables Sweets
Quinoa + Tofu + Mixed Salad + (Fried/Processed) Combo 105,896,Quinoa Tofu Vegetables Junk Food
Wheat/Roti + Lentils Combo 106,380,Wheat/Roti Lentils
Rice Combo 107,219,Rice
Rice + Eggs + Root Veggies + (Fried/Processed) Combo 108,716,Rice Eggs Vegetables Junk Food
Pasta + Fish + Mixed Salad + with Cheese/Cream Combo 109,747,Pasta Fish Vegetables Dairy
Quinoa + Tofu + Leafy Greens Combo 110,542,Quinoa Tofu Vegetables Sweets
Rice + Lentils + Root Veggies + (Fried/Processed) Combo 111,843,Rice Lentils Vegetables Junk Food
Quinoa + Tofu + Vegetables Combo 112,512,Quinoa Tofu Vegetables
Noodles Combo 113,235,Noodles
Rice Combo 114,167,Rice
Rice Combo 115,244,Rice
Noodles + Lentils + Root Veggies Combo 116,526,Noodles Lentils Vegetables
Wheat/Roti Combo 117,238,Wheat/Roti
Quinoa + Chicken/Meat + Vegetables Combo 118,460,Quinoa Chicken/Meat Vegetables
Pasta + Chicken/Meat Combo 119,422,Pasta Chicken/Meat
Rice + Tofu + Root Veggies Combo 120,674,Rice Tofu Vegetables Sweets
Wheat/Roti Combo 121,296,Wheat/Roti
Quinoa + Eggs + Leafy Greens Combo 122,599,Quinoa Eggs Vegetables Nuts
Rice + Eggs + Mixed Salad + with Cheese/Cream Combo 123,670,Rice Eggs Vegetables Dairy
Quinoa + Fish + Leafy Greens Combo 124,591,Quinoa Fish Vegetables
Pasta Combo 125,183,Pasta
Wheat/Roti + Chicken/Meat + Leafy Greens Combo 126,699,Wheat/Roti Chicken/Meat Vegetables Nuts
Wheat/Roti + Lentils Combo 127,443,Wheat/Roti Lentils
Wheat/Roti Combo 128,178,Wheat/Roti
Quinoa + Tofu + Vegetables Combo 129,448,Quinoa Tofu Vegetables
Wheat/Roti Combo 130,206,Wheat/Roti
Wheat/Roti Combo 131,277,Wheat/Roti
Rice + Eggs + Vegetables + with Cheese/Cream Combo 132,692,Rice Eggs Vegetables Dairy
Wheat/Roti + Lentils Combo 133,437,Wheat/Roti Lentils
Quinoa + Lentils + Mixed Salad Combo 134,566,Quinoa Lentils Vegetables
Noodles + Eggs + Leafy Greens + (Fried/Processed) Combo 135,1036,Noodles Eggs Vegetables Junk Food
Pasta + Eggs + Mixed Salad Combo 136,505,Pasta Eggs Vegetables
Pasta Combo 137,272,Pasta
Rice + Eggs + Root Veggies Combo 138,599,Rice Eggs Vegetables
Wheat/Roti Combo 139,220,Wheat/Roti
Wheat/Roti Combo 140,175,Wheat/Roti
Quinoa + Eggs + Root Veggies + with Cheese/Cream Combo 141,601,Quinoa Eggs Vegetables Dairy
Wheat/Roti + Tofu Combo 142,537,Wheat/Roti Tofu
Pasta Combo 143,181,Pasta
Pasta Combo 144,167,Pasta
Wheat/Roti + Lentils + Root Veggies Combo 145,606,Wheat/Roti Lentils Vegetables
Quinoa + Chicken/Meat Combo 146,481,Quinoa Chicken/Meat
Pasta + Tofu + Vegetables Combo 147,611,Pasta Tofu Vegetables Nuts
Rice + Eggs + Mixed Salad Combo 148,494,Rice Eggs Vegetables
Pasta + Fish + Leafy Greens Combo 149,552,Pasta Fish Vegetables Sweets
Rice + Lentils + Leafy Greens Combo 150,607,Rice Lentils Vegetables
Rice + Chicken/Meat + Vegetables + with Cheese/Cream Combo 151,767,Rice Chicken/Meat Vegetables Dairy
Wheat/Roti + Eggs Combo 152,549,Wheat/Roti Eggs
Noodles + Tofu + Root Veggies + (Fried/Processed) Combo 153,738,Noodles Tofu Vegetables Junk Food
Pasta + Fish Combo 154,615,Pasta Fish
Rice + Chicken/Meat Combo 155,489,Rice Chicken/Meat
Wheat/Roti + Lentils + Root Veggies Combo 156,348,Wheat/Roti Lentils Vegetables
Pasta + Fish + Vegetables Combo 157,658,Pasta Fish Vegetables
Rice Combo 158,219,Rice
Pasta + Eggs + Leafy Greens Combo 159,444,Pasta Eggs Vegetables
Wheat/Roti + Fish Combo 160,516,Wheat/Roti Fish
Wheat/Roti + Fish + Root Veggies + with Cheese/Cream Combo 161,653,Wheat/Roti Fish Vegetables Dairy
Rice + Fish Combo 162,458,Rice Fish
Quinoa + Lentils + Root Veggies Combo 163,584,Quinoa Lentils Vegetables
Rice + Chicken/Meat Combo 164,350,Rice Chicken/Meat
Pasta + Tofu Combo 165,367,Pasta Tofu
Quinoa Combo 166,244,Quinoa
Noodles + Eggs + Vegetables Combo 167,591,Noodles Eggs Vegetables
Noodles + Tofu Combo 168,489,Noodles Tofu
Rice + Chicken/Meat Combo 169,640,Rice Chicken/Meat
Rice + Eggs Combo 170,433,Rice Eggs
Pasta + Fish + Leafy Greens Combo 171,378,Pasta Fish Vegetables
Wheat/Roti + Fish Combo 172,545,Wheat/Roti Fish
Pasta Combo 173,178,Pasta
Wheat/Roti Combo 174,159,Wheat/Roti
Noodles Combo 175,181,Noodles
Wheat/Roti + Tofu + Vegetables Combo 176,553,Wheat/Roti Tofu Vegetables
Rice + Lentils + Root Veggies Combo 177,619,Rice Lentils Vegetables Nuts
Wheat/Roti + Tofu + Vegetables Combo 178,460,Wheat/Roti Tofu Vegetables
Quinoa + Chicken/Meat + Leafy Greens Combo 179,548,Quinoa Chicken/Meat Vegetables
Noodles Combo 180,293,Noodles
Wheat/Roti + Chicken/Meat + Root Veggies Combo 181,622,Wheat/Roti Chicken/Meat Vegetables
Quinoa Combo 182,247,Quinoa
Rice + Chicken/Meat + Mixed Salad Combo 183,460,Rice Chicken/Meat Vegetables
Noodles + Chicken/Meat + Mixed Salad Combo 184,537,Noodles Chicken/Meat Vegetables
Noodles + Chicken/Meat + Mixed Salad + with Cheese/Cream Combo 185,610,Noodles Chicken/Meat Vegetables Dairy
Noodles + Fish + Leafy Greens Combo 186,458,Noodles Fish Vegetables
Wheat/Roti + Chicken/Meat + Vegetables Combo 187,467,Wheat/Roti Chicken/Meat Vegetables
Wheat/Roti + Eggs Combo 188,530,Wheat/Roti Eggs
Quinoa Combo 189,175,Quinoa
Noodles + Chicken/Meat + Vegetables Combo 190,554,Noodles Chicken/Meat Vegetables
Pasta + Fish + Vegetables + (Fried/Processed) Combo 191,950,Pasta Fish Vegetables Junk Food
Wheat/Roti + Fish + Root Veggies + (Fried/Processed) Combo 192,819,Wheat/Roti Fish Vegetables Junk Food
Quinoa + Tofu + Leafy Greens Combo 193,434,Quinoa Tofu Vegetables
Pasta + Fish + Vegetables Combo 194,473,Pasta Fish Vegetables
Noodles Combo 195,160,Noodles
Noodles + Fish Combo 196,506,Noodles Fish
Rice + Chicken/Meat Combo 197,543,Rice Chicken/Meat
Pasta + Chicken/Meat + Root Veggies + with Cheese/Cream Combo 198,678,Pasta Chicken/Meat Vegetables Dairy
Noodles + Eggs + Mixed Salad + (Fried/Processed) Combo 199,783,Noodles Eggs Vegetables Junk Food
Noodles Combo 200,274,Noodles
Quinoa + Chicken/Meat + Root Veggies Combo 201,398,Quinoa Chicken/Meat Vegetables Nuts
Rice + Lentils Combo 202,530,Rice Lentils
Rice + Fish Combo 203,272,Rice Fish
Noodles + Eggs + Vegetables Combo 204,341,Noodles Eggs Vegetables
Pasta Combo 205,155,Pasta
Wheat/Roti Combo 206,226,Wheat/Roti
Quinoa + Chicken/Meat + Mixed Salad Combo 207,660,Quinoa Chicken/Meat Vegetables
Rice + Eggs + Root Veggies Combo 208,669,Rice Eggs Vegetables
Pasta + Lentils Combo 209,384,Pasta Lentils
Quinoa + Lentils + Vegetables Combo 210,584,Quinoa Lentils Vegetables
Noodles + Lentils + Leafy Greens + with Cheese/Cream Combo 211,664,Noodles Lentils Vegetables Dairy
Rice + Chicken/Meat + Root Veggies + with Cheese/Cream Combo 212,797,Rice Chicken/Meat Vegetables Dairy
Noodles Combo 213,172,Noodles
Quinoa + Eggs + Vegetables Combo 214,574,Quinoa Eggs Vegetables Nuts
Wheat/Roti + Fish + Vegetables + with Cheese/Cream Combo 215,510,Wheat/Roti Fish Vegetables Dairy
Quinoa Combo 216,166,Quinoa
Wheat/Roti Combo 217,294,Wheat/Roti
Quinoa + Eggs Combo 218,598,Quinoa Eggs
Wheat/Roti + Tofu + Root Veggies Combo 219,497,Wheat/Roti Tofu Vegetables
Pasta + Lentils Combo 220,499,Pasta Lentils
Noodles + Tofu + Mixed Salad Combo 221,710,Noodles Tofu Vegetables
Rice + Chicken/Meat Combo 222,499,Rice Chicken/Meat
Noodles + Eggs + Leafy Greens Combo 223,405,Noodles Eggs Vegetables
Pasta + Tofu Combo 224,346,Pasta Tofu
Quinoa + Fish + Leafy Greens Combo 225,525,Quinoa Fish Vegetables
Quinoa + Eggs Combo 226,452,Quinoa Eggs
Rice + Lentils + Leafy Greens + with Cheese/Cream Combo 227,560,Rice Lentils Vegetables Dairy
Noodles + Chicken/Meat + Leafy Greens + with Cheese/Cream Combo 228,618,Noodles Chicken/Meat Vegetables Dairy
Pasta + Tofu + Root Veggies Combo 229,525,Pasta Tofu Vegetables
Quinoa + Tofu + Root Veggies Combo 230,499,Quinoa Tofu Vegetables
Pasta Combo 231,168,Pasta
Pasta + Chicken/Meat Combo 232,531,Pasta Chicken/Meat
Wheat/Roti + Lentils Combo 233,428,Wheat/Roti Lentils
Quinoa + Chicken/Meat + Mixed Salad Combo 234,591,Quinoa Chicken/Meat Vegetables
Quinoa + Fish Combo 235,399,Quinoa Fish
Wheat/Roti Combo 236,216,Wheat/Roti
Rice + Chicken/Meat Combo 237,371,Rice Chicken/Meat
Quinoa + Lentils + Vegetables Combo 238,597,Quinoa Lentils Vegetables Nuts
Noodles Combo 239,268,Noodles
Pasta + Fish + Vegetables Combo 240,592,Pasta Fish Vegetables
Rice + Tofu + Mixed Salad + with Cheese/Cream Combo 241,600,Rice Tofu Vegetables Dairy
Quinoa + Eggs + Leafy Greens + (Fried/Processed) Combo 242,864,Quinoa Eggs Vegetables Junk Food
Quinoa + Tofu + Leafy Greens + with Cheese/Cream Combo 243,567,Quinoa Tofu Vegetables Dairy
Rice Combo 244,187,Rice
Rice + Eggs Combo 245,566,Rice Eggs
Pasta + Eggs + Mixed Salad Combo 246,425,Pasta Eggs Vegetables Sweets
Pasta + Eggs + Root Veggies Combo 247,490,Pasta Eggs Vegetables
Pasta + Eggs + Root Veggies Combo 248,500,Pasta Eggs Vegetables
Wheat/Roti + Eggs Combo 249,583,Wheat/Roti Eggs
Quinoa Combo 250,292,Quinoa
Noodles + Eggs + Leafy Greens Combo 251,521,Noodles Eggs Vegetables
Wheat/Roti + Chicken/Meat + Root Veggies Combo 252,566,Wheat/Roti Chicken/Meat Vegetables
Quinoa + Tofu + Leafy Greens Combo 253,676,Quinoa Tofu Vegetables
Wheat/Roti + Fish + Root Veggies + (Fried/Processed) Combo 254,956,Wheat/Roti Fish Vegetables Junk Food
Quinoa + Eggs + Mixed Salad Combo 255,711,Quinoa Eggs Vegetables
Wheat/Roti Combo 256,158,Wheat/Roti
Noodles + Fish Combo 257,556,Noodles Fish
Quinoa Combo 258,293,Quinoa
Quinoa + Tofu Combo 259,421,Quinoa Tofu
Wheat/Roti + Chicken/Meat Combo 260,563,Wheat/Roti Chicken/Meat
Noodles Combo 261,300,Noodles
Rice + Fish Combo 262,504,Rice Fish
Quinoa + Chicken/Meat Combo 263,489,Quinoa Chicken/Meat
Pasta + Lentils + Mixed Salad Combo 264,525,Pasta Lentils Vegetables Sweets
Wheat/Roti + Eggs + Mixed Salad Combo 265,435,Wheat/Roti Eggs Vegetables
Pasta + Lentils + Mixed Salad Combo 266,636,Pasta Lentils Vegetables Nuts
Pasta Combo 267,288,Pasta
Noodles + Tofu + Vegetables + (Fried/Processed) Combo 268,802,Noodles Tofu Vegetables Junk Food
Rice Combo 269,258,Rice
Pasta + Chicken/Meat Combo 270,375,Pasta Chicken/Meat
Pasta + Tofu + Mixed Salad Combo 271,576,Pasta Tofu Vegetables
Wheat/Roti Combo 272,244,Wheat/Roti
Wheat/Roti Combo 273,277,Wheat/Roti
Pasta + Lentils + Mixed Salad Combo 274,597,Pasta Lentils Vegetables
Quinoa + Eggs + Mixed Salad + (Fried/Processed) Combo 275,838,Quinoa Eggs Vegetables Junk Food
Noodles + Lentils + Mixed Salad + (Fried/Processed) Combo 276,1006,Noodles Lentils Vegetables Junk Food
Pasta + Tofu Combo 277,367,Pasta Tofu
Noodles Combo 278,273,Noodles
Rice + Lentils + Root Veggies Combo 279,712,Rice Lentils Vegetables
Wheat/Roti + Tofu + Root Veggies Combo 280,654,Wheat/Roti Tofu Vegetables
Noodles + Tofu Combo 281,586,Noodles Tofu
Pasta Combo 282,210,Pasta
Quinoa + Chicken/Meat Combo 283,404,Quinoa Chicken/Meat
Rice + Eggs + Root Veggies + with Cheese/Cream Combo 284,762,Rice Eggs Vegetables Dairy
Pasta + Lentils + Leafy Greens Combo 285,586,Pasta Lentils Vegetables
Quinoa + Lentils Combo 286,268,Quinoa Lentils
Quinoa + Lentils Combo 287,402,Quinoa Lentils
Quinoa Combo 288,286,Quinoa
Quinoa + Tofu + Root Veggies Combo 289,703,Quinoa Tofu Vegetables
Noodles + Lentils + Leafy Greens + with Cheese/Cream Combo 290,629,Noodles Lentils Vegetables Dairy
Quinoa Combo 291,283,Quinoa
Rice + Tofu Combo 292,449,Rice Tofu
Quinoa + Tofu + Vegetables Combo 293,425,Quinoa Tofu Vegetables
Pasta Combo 294,289,Pasta
Quinoa Combo 295,191,Quinoa
Pasta Combo 296,245,Pasta
Pasta + Chicken/Meat + Vegetables + (Fried/Processed) Combo 297,986,Pasta Chicken/Meat Vegetables Junk Food
Wheat/Roti + Lentils Combo 298,372,Wheat/Roti Lentils
Rice + Tofu + Root Veggies Combo 299,787,Rice Tofu Vegetables
Quinoa + Eggs + Leafy Greens Combo 300,441,Quinoa Eggs Vegetables Nuts
Noodles + Fish + Root Veggies Combo 301,537,Noodles Fish Vegetables
Noodles + Fish + Vegetables Combo 302,598,Noodles Fish Vegetables Nuts
Wheat/Roti Combo 303,286,Wheat/Roti
Quinoa + Lentils + Root Veggies + with Cheese/Cream Combo 304,750,Quinoa Lentils Vegetables Dairy
Quinoa + Chicken/Meat Combo 305,337,Quinoa Chicken/Meat
Quinoa Combo 306,277,Quinoa
Rice + Eggs + Mixed Salad Combo 307,514,Rice Eggs Vegetables
Noodles + Fish Combo 308,458,Noodles Fish
Wheat/Roti Combo 309,276,Wheat/Roti
Pasta + Fish + Vegetables Combo 310,560,Pasta Fish Vegetables Sweets
Pasta + Tofu + Vegetables Combo 311,650,Pasta Tofu Vegetables Sweets
Quinoa + Fish Combo 312,569,Quinoa Fish
Wheat/Roti + Fish + Mixed Salad + (Fried/Processed) Combo 313,778,Wheat/Roti Fish Vegetables Junk Food
Rice + Eggs + Vegetables Combo 314,554,Rice Eggs Vegetables
Quinoa + Eggs + Leafy Greens Combo 315,503,Quinoa Eggs Vegetables
Wheat/Roti + Tofu + Vegetables Combo 316,597,Wheat/Roti Tofu Vegetables
Pasta + Chicken/Meat Combo 317,431,Pasta Chicken/Meat
Noodles + Lentils + Mixed Salad Combo 318,428,Noodles Lentils Vegetables
Quinoa + Tofu + Mixed Salad Combo 319,573,Quinoa Tofu Vegetables Nuts
Rice Combo 320,230,Rice
Pasta + Lentils Combo 321,557,Pasta Lentils
Pasta + Chicken/Meat Combo 322,361,Pasta Chicken/Meat
Pasta + Tofu Combo 323,483,Pasta Tofu
Noodles + Chicken/Meat Combo 324,429,Noodles Chicken/Meat
Quinoa + Fish + Leafy Greens Combo 325,715,Quinoa Fish Vegetables
Quinoa Combo 326,233,Quinoa
Rice + Chicken/Meat + Vegetables Combo 327,468,Rice Chicken/Meat Vegetables
Noodles + Lentils + Leafy Greens + with Cheese/Cream Combo 328,641,Noodles Lentils Vegetables Dairy
Wheat/Roti Combo 329,150,Wheat/Roti
Pasta Combo 330,253,Pasta
Noodles + Lentils + Mixed Salad Combo 331,434,Noodles Lentils Vegetables
Rice Combo 332,289,Rice
Quinoa + Eggs + Root Veggies Combo 333,502,Quinoa Eggs Vegetables
Noodles + Lentils Combo 334,430,Noodles Lentils
Noodles + Fish + Root Veggies Combo 335,563,Noodles Fish Vegetables
Noodles + Chicken/Meat + Root Veggies + (Fried/Processed) Combo 336,884,Noodles Chicken/Meat Vegetables Junk Food
Wheat/Roti + Lentils + Leafy Greens Combo 337,494,Wheat/Roti Lentils Vegetables
Noodles + Chicken/Meat + Vegetables Combo 338,479,Noodles Chicken/Meat Vegetables Nuts
Wheat/Roti Combo 339,177,Wheat/Roti
Wheat/Roti + Tofu + Mixed Salad Combo 340,459,Wheat/Roti Tofu Vegetables Nuts
Rice + Tofu + Mixed Salad Combo 341,632,Rice Tofu Vegetables
Wheat/Roti + Chicken/Meat + Vegetables + (Fried/Processed) Combo 342,833,Wheat/Roti Chicken/Meat Vegetables Junk Food
Rice + Lentils + Leafy Greens + (Fried/Processed) Combo 343,645,Rice Lentils Vegetables Junk Food
Pasta + Fish + Leafy Greens Combo 344,573,Pasta Fish Vegetables Nuts
Wheat/Roti + Chicken/Meat + Leafy Greens Combo 345,537,Wheat/Roti Chicken/Meat Vegetables
Wheat/Roti Combo 346,194,Wheat/Roti
Rice Combo 347,241,Rice
Rice + Eggs + Vegetables Combo 348,370,Rice Eggs Vegetables
Wheat/Roti + Lentils Combo 349,635,Wheat/Roti Lentils
Wheat/Roti + Eggs + Root Veggies Combo 350,493,Wheat/Roti Eggs Vegetables
Noodles + Lentils + Mixed Salad Combo 351,477,Noodles Lentils Vegetables
Noodles + Eggs + Vegetables Combo 352,428,Noodles Eggs Vegetables
Pasta + Chicken/Meat + Mixed Salad Combo 353,417,Pasta Chicken/Meat Vegetables Sweets
Rice + Eggs Combo 354,467,Rice Eggs
Noodles Combo 355,195,Noodles
Wheat/Roti + Fish + Leafy Greens Combo 356,346,Wheat/Roti Fish Vegetables
Wheat/Roti Combo 357,215,Wheat/Roti
Rice + Chicken/Meat Combo 358,471,Rice Chicken/Meat
Pasta + Chicken/Meat Combo 359,536,Pasta Chicken/Meat
Wheat/Roti + Fish + Leafy Greens Combo 360,692,Wheat/Roti Fish Vegetables
Rice Combo 361,253,Rice
Rice + Fish Combo 362,490,Rice Fish
Noodles Combo 363,266,Noodles
Wheat/Roti + Tofu + Mixed Salad + (Fried/Processed) Combo 364,719,Wheat/Roti Tofu Vegetables Junk Food
Quinoa Combo 365,244,Quinoa
Quinoa + Chicken/Meat + Root Veggies Combo 366,567,Quinoa Chicken/Meat Vegetables
Quinoa Combo 367,198,Quinoa
Wheat/Roti + Lentils Combo 368,470,Wheat/Roti Lentils
Rice + Tofu + Leafy Greens Combo 369,591,Rice Tofu Vegetables
Rice + Chicken/Meat + Root Veggies + with Cheese/Cream Combo 370,750,Rice Chicken/Meat Vegetables Dairy
Quinoa + Chicken/Meat + Mixed Salad Combo 371,639,Quinoa Chicken/Meat Vegetables Nuts
Quinoa + Eggs Combo 372,564,Quinoa Eggs
Rice + Tofu + Vegetables Combo 373,701,Rice Tofu Vegetables
Quinoa + Tofu Combo 374,528,Quinoa Tofu
Pasta + Tofu Combo 375,430,Pasta Tofu
Rice + Chicken/Meat Combo 376,373,Rice Chicken/Meat
Noodles Combo 377,295,Noodles
Quinoa Combo 378,204,Quinoa
Quinoa + Chicken/Meat + Leafy Greens Combo 379,624,Quinoa Chicken/Meat Vegetables Nuts
Noodles + Fish + Leafy Greens Combo 380,617,Noodles Fish Vegetables
Quinoa + Chicken/Meat + Vegetables Combo 381,418,Quinoa Chicken/Meat Vegetables Nuts
Quinoa + Eggs + Root Veggies Combo 382,610,Quinoa Eggs Vegetables
Pasta Combo 383,266,Pasta
Rice + Chicken/Meat Combo 384,428,Rice Chicken/Meat
Wheat/Roti + Lentils + Mixed Salad Combo 385,482,Wheat/Roti Lentils Vegetables
Noodles Combo 386,200,Noodles
Quinoa + Tofu + Root Veggies Combo 387,607,Quinoa Tofu Vegetables
Rice + Lentils + Mixed Salad + (Fried/Processed) Combo 388,744,Rice Lentils Vegetables Junk Food
Pasta + Fish + Root Veggies Combo 389,625,Pasta Fish Vegetables
Rice Combo 390,279,Rice
Rice + Chicken/Meat Combo 391,463,Rice Chicken/Meat
Quinoa + Eggs + Root Veggies Combo 392,659,Quinoa Eggs Vegetables
Pasta + Lentils + Leafy Greens Combo 393,500,Pasta Lentils Vegetables
Noodles + Lentils Combo 394,343,Noodles Lentils
Pasta + Lentils + Leafy Greens Combo 395,577,Pasta Lentils Vegetables
Wheat/Roti + Tofu + Mixed Salad Combo 396,476,Wheat/Roti Tofu Vegetables Nuts
Rice Combo 397,271,Rice
Noodles + Chicken/Meat + Root Veggies + (Fried/Processed) Combo 398,720,Noodles Chicken/Meat Vegetables Junk Food
Rice Combo 399,237,Rice
Quinoa + Fish + Vegetables Combo 400,670,Quinoa Fish Vegetables
Quinoa Combo 401,228,Quinoa
